scrip,name,ltp,score,band,rsi,stretch_pct,entry,sup,res,bollinger,macd,macd_crossover_risk,health_trend,flow_pressure,data_confidence,navps,witnesses,depth,stack_bucket,stack_win_pct,stack_net_pct,stack_median_pct,stack_n,market_regime,regime_mean_pct,signals,signal_status,net_exp_pct,profit_factor,z,hit_pct,p_up_raw,p_up_cal,base_rate_up,signal_brier,signal_n,tk_hit_pct,tk_net_pct,tk_n,best_sig,best_sig_hit,best_sig_net,best_sig_n,vol_ann_pct,max_dd_5y_pct,var95_daily_pct,beta,crashP_pct,cat,liquidity,updated,history_last_bar
1JANATAMF,First Janata Bank Mutual Fund,3.3,10,High risk,71,8.1,EXTENDED,3.2,3.4,inside bands (+0.2σ),bearish,none,deteriorating,accumulation,high,7.54,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.442,0.417,0.436,0.2364,4064,44.2,0.39,104,Below the Stomach,73.3,2.54,30,36.4,-77.3,-3.33,1.33,7.3,A,0.3,2026-07-09,2026-07-10
1STPRIMFMF,Prime Finance First Mutual Fund,24.1,0,High risk,75,19.8,EXTENDED,18.5,24.9,inside bands (+2.0σ),bullish,none,deteriorating,accumulation,high,8.6,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,47.3,5.16,241,44.9,-67.5,-3.43,1.02,9.2,A,unavailable,2026-07-09,2026-07-10
AAMRANET,aamra networks limited,21.8,56,Mixed,83,22.6,EXTENDED,17.4,21.9,inside bands (+1.7σ),bullish,none,improving,accumulation,high,37.01,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,52w-low breakdown,65.6,2.25,96,40.1,-82.3,-3.57,1.13,7.4,Z,0.1,2026-07-09,2026-07-10
AAMRATECH,aamra technologies limited,18.0,6,High risk,85,28.1,EXTENDED,14.2,18.6,above upper band,bullish,none,deteriorating,accumulation,high,21.73,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.364,0.333,0.436,0.2367,1189,36.4,-2.7,44,RSI>70 overbought,78.1,4.37,96,40.1,-81.6,-3.55,1.24,14.5,Z,0.3,2026-07-09,2026-07-10
ABB1STMF,AB Bank 1st Mutual fund,3.5,15,High risk,67,8.7,fair,3.4,3.6,inside bands (+0.9σ),bullish,none,deteriorating,accumulation,high,8.69,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Bullish Marubozu,43.1,1.06,102,36.7,-70.4,-3.23,1.34,5.5,A,0.1,2026-07-09,2026-07-10
ABBANK,AB Bank PLC.,4.9,8,High risk,43,2.4,IN-ZONE,4.8,5.1,inside bands (+0.9σ),bullish,watch-bearish,deteriorating,neutral,high,-36.24,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Price reclaims MA200,55.3,4.59,38,40.9,-78.4,-3.39,1.52,2.5,Z,0.2,2026-07-09,2026-07-10
ACFL,Aman Cotton Fibrous PLC.,23.9,13,High risk,48,11.0,fair,22.4,25.2,inside bands (+0.1σ),bearish,none,deteriorating,accumulation,high,33.63,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,RSI<30 oversold,59.7,2.75,62,37.4,-73.4,-3.18,0.62,8.5,A,0.2,2026-07-09,2026-07-10
ACI,Advanced Chemical Industries PLC,203.1,7,High risk,71,5.0,EXTENDED,187.2,206.8,above upper band,bullish,none,deteriorating,accumulation,high,91.64,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.52,0.475,0.436,0.2436,2558,52.0,-0.49,98,Above the Stomach,63.5,2.89,63,27.0,-64.0,-2.45,0.55,3.3,A,0.1,2026-07-09,2026-07-10
ACIFORMULA,ACI Formulations PLC,152.9,63,Fair,76,6.4,EXTENDED,141.0,156.3,above upper band,bullish,none,improving,accumulation,high,75.51,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.388,0.333,0.436,0.2436,2558,38.8,0.09,98,Stretch<-30% vs MA200,70.0,6.25,80,30.6,-50.5,-2.76,0.82,4.4,A,0.1,2026-07-09,2026-07-10
ACMELAB,The ACME Laboratories Limited,84.5,80,Strong,79,7.7,EXTENDED,78.4,85.7,inside bands (+1.6σ),bullish,none,improving,accumulation,high,126.37,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Three Black Crows,78.1,1.09,32,24.3,-43.7,-2.24,0.64,4.2,A,unavailable,2026-07-09,2026-07-10
ACMEPL,ACME Pesticides Limited,23.3,0,High risk,41,-2.6,IN-ZONE,22.8,25.1,inside bands (-1.1σ),bearish,watch-bullish,deteriorating,distribution,high,16.41,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.448,0.417,0.436,0.2436,2558,,,,RSI<30 oversold,65.0,4.64,40,46.4,-74.3,-3.68,0.9,7.2,B,unavailable,2026-07-09,2026-07-10
ACTIVEFINE,Active Fine Chemicals Limited,7.3,36,Weak,56,6.5,IN-ZONE,7.2,7.4,inside bands (-0.4σ),bearish,none,deteriorating,accumulation,high,22.07,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch>50% vs MA200,91.4,8.17,35,43.7,-85.1,-4.21,1.26,4.4,Z,0.2,2026-07-09,2026-07-10
ADNTEL,ADN Telecom Limited,69.7,26,Weak,62,10.3,fair,62.0,71.0,inside bands (+1.1σ),bearish,none,stable,accumulation,high,32.82,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.5,0.475,0.436,0.2364,4064,50.0,1.87,52,Stretch>50% vs MA200,75.9,3.88,58,45.2,-68.2,-3.72,1.13,5.3,A,unavailable,2026-07-09,2026-07-10
ADVENT,Advent Pharma Limited,15.9,44,Mixed,68,9.0,fair,15.5,16.7,inside bands (+1.5σ),bearish,none,deteriorating,accumulation,high,16.43,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,RSI<30 oversold,66.7,3.49,60,42.5,-65.4,-3.59,0.86,4.8,Z,0.1,2026-07-09,2026-07-10
AFCAGRO,AFC Agro Biotech Ltd.,7.9,14,High risk,53,8.0,fair,7.7,8.2,inside bands (+1.9σ),bullish,none,deteriorating,accumulation,high,18.19,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,RSI<30 oversold,72.3,3.31,130,45.8,-89.2,-4.24,1.54,7.3,Z,0.4,2026-07-09,2026-07-10
AFTABAUTO,Aftab Automobiles Limited,31.1,8,High risk,46,4.9,IN-ZONE,30.0,33.2,inside bands (+0.1σ),bearish,watch-bullish,deteriorating,neutral,high,47.57,0,0,none,,,,,bull,-0.58,RSI<30 oversold,WORKS,1.25,1.61,15.2,52.9,0.505,0.475,0.436,0.2542,16105,50.5,1.52,218,Stretch<-30% vs MA200,72.5,8.39,102,44.1,-59.8,-3.68,1.01,3.6,Z,0.1,2026-07-09,2026-07-10
AGNISYSL,Agni Systems PLC.,31.9,30,Weak,69,14.1,fair,27.6,32.7,inside bands (+1.0σ),bearish,watch-bullish,deteriorating,accumulation,high,16.95,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.178,0.1,0.436,0.2367,1189,17.8,-4.67,45,RSI<30 oversold,61.9,4.94,113,39.8,-54.4,-3.38,1.14,10.6,B,unavailable,2026-07-09,2026-07-10
AGRANINS,Agrani Insurance PLC.,28.8,12,High risk,67,15.3,fair,26.6,29.2,inside bands (+0.2σ),bearish,watch-bullish,deteriorating,accumulation,high,19.42,0,0,none,,,,,bull,-0.58,MACD bull cross|Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.39,0.333,0.436,0.2436,2558,38.0,-0.16,92,Stretch<-30% vs MA200,95.6,18.79,45,40.5,-70.6,-3.38,1.03,7.5,A,0.1,2026-07-09,2026-07-10
AIBL1STIMF,AIBL 1st Islamic Mutual Fund,5.3,12,High risk,82,28.1,EXTENDED,4.9,5.4,inside bands (+1.9σ),bullish,none,stable,accumulation,high,10.27,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,RSI<30 oversold,53.9,3.84,115,32.6,-72.7,-2.82,,15.7,A,0.4,2026-07-09,2026-07-10
AIL,Alif Industries Limited,37.0,17,High risk,69,14.0,EXTENDED,33.1,40.5,inside bands (+0.2σ),bearish,watch-bullish,stable,accumulation,high,24.56,0,0,none,,,,,bull,-0.58,MACD bull cross|Morning Star,NO-EDGE,-0.25,1.08,-7.9,42.8,0.421,0.417,0.436,0.2364,4064,47.9,0.69,48,52w-high breakout,54.5,4.75,44,45.2,-78.6,-4.01,1.08,3.6,Z,0.1,2026-07-09,2026-07-10
ALARABANK,Al-Arafah Islami Bank PLC.,16.0,11,High risk,69,11.2,fair,14.8,16.6,above upper band,bullish,none,deteriorating,accumulation,high,21.16,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,RSI<30 oversold,57.3,1.7,225,26.2,-55.7,-2.11,0.46,3.5,Z,0.6,2026-07-09,2026-07-10
ALIF,Alif Manufacturing Company Ltd.,5.7,0,High risk,63,7.1,fair,5.6,5.8,inside bands (-0.1σ),bearish,none,deteriorating,accumulation,high,15.15,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.379,0.333,0.436,0.2364,4064,37.9,-1.58,124,Bullish Marubozu,53.3,3.46,30,41.5,-85.5,-3.7,1.42,7.3,Z,0.3,2026-07-09,2026-07-10
ALLTEX,Alltex Industries Ltd.,18.1,0,High risk,73,8.6,EXTENDED,17.2,18.6,inside bands (+1.0σ),bullish,none,stable,neutral,high,24.77,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.403,0.417,0.436,0.2436,2558,40.3,-1.49,67,Stretch<-30% vs MA200,46.7,2.24,214,48.0,-69.4,-4.26,0.84,9.0,Z,0.2,2026-07-09,2026-07-10
AMANFEED,Aman Feed PLC.,34.3,0,High risk,48,9.5,fair,31.1,35.6,inside bands (+0.5σ),bearish,watch-bullish,deteriorating,accumulation,high,28.03,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,52w-high breakout,60.5,4.19,38,40.9,-73.6,-3.54,0.94,10.8,A,unavailable,2026-07-09,2026-07-10
AMBEEPHA,Ambee Pharmaceuticals PLC,760.7,0,High risk,47,-0.6,IN-ZONE,750.0,800.0,inside bands (-0.8σ),bearish,watch-bullish,deteriorating,distribution,high,13.47,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.479,0.417,0.436,0.2364,4064,47.9,0.1,144,RSI<30 oversold,67.9,4.46,81,38.8,-45.5,-3.44,0.39,3.0,A,0.9,2026-07-09,2026-07-10
ANLIMAYARN,Anlimayarn Dyeing Ltd.,36.2,0,High risk,61,35.2,EXTENDED,33.5,36.6,inside bands (+0.5σ),bearish,none,deteriorating,accumulation,high,5.63,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.385,0.333,0.436,0.2367,1189,38.5,-3.97,39,Three Outside Up,50.0,3.6,38,42.4,-68.1,-3.99,0.87,32.6,Z,0.1,2026-07-09,2026-07-10
ANWARGALV,Anwar Galvanizing Ltd.,117.2,0,High risk,51,9.4,fair,117.0,120.9,inside bands (+0.3σ),bearish,none,deteriorating,accumulation,high,1.38,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.451,0.417,0.436,0.2436,2558,45.1,0.87,82,RSI<30 oversold,50.7,3.71,144,44.5,-83.2,-3.83,1.19,9.8,A,unavailable,2026-07-09,2026-07-10
AOL,Associated Oxygen Limited,17.6,28,Weak,52,1.8,IN-ZONE,17.0,19.2,inside bands (-0.2σ),bullish,watch-bearish,deteriorating,neutral,high,19.33,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Above upper Bollinger,74.4,3.29,43,41.2,-80.4,-3.57,0.86,5.1,Z,0.1,2026-07-09,2026-07-10
APEXFOODS,Apex Foods Limited,294.2,14,High risk,69,6.5,fair,263.0,303.9,inside bands (+1.7σ),bullish,none,improving,neutral,high,126.05,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,93.5,13.15,31,44.8,-65.9,-3.75,0.63,6.6,A,0.1,2026-07-09,2026-07-10
APEXFOOT,Apex Footwear Limited,211.3,5,High risk,76,4.6,EXTENDED,198.8,216.9,inside bands (+1.8σ),bullish,none,deteriorating,neutral,high,436.68,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch>50% vs MA200,80.0,2.98,50,32.3,-41.7,-2.79,0.4,4.1,A,unavailable,2026-07-09,2026-07-10
APEXSPINN,Apex Spinning & Knitting Mills Limited,414.1,0,High risk,67,14.3,fair,402.5,433.0,above upper band,bullish,none,improving,accumulation,high,83.11,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,66.7,7.23,60,39.4,-56.2,-3.3,0.57,40.7,A,unavailable,2026-07-09,2026-07-10
APEXTANRY,Apex Tannery Limited,102.1,0,High risk,48,-1.1,IN-ZONE,97.0,112.4,inside bands (+0.6σ),bearish,watch-bullish,deteriorating,neutral,high,30.19,0,0,none,,,,,bull,-0.58,MACD bull cross,NO-EDGE,-0.25,1.08,-7.9,42.8,0.456,0.417,0.436,0.2364,4064,45.6,0.28,114,Stretch<-30% vs MA200,96.7,13.91,30,37.1,-71.1,-3.21,0.64,10.1,B,0.1,2026-07-09,2026-07-10
APOLOISPAT,Appollo Ispat Complex Limited,3.2,0,High risk,44,-3.4,IN-ZONE,3.1,3.3,inside bands (-0.9σ),bearish,none,deteriorating,accumulation,high,0.7,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch>50% vs MA200,87.0,4.92,77,49.8,-90.5,-4.67,1.59,6.6,Z,0.3,2026-07-09,2026-07-10
ARAMIT,Aramit Limited,206.6,36,Weak,67,13.7,fair,198.3,208.9,inside bands (+1.9σ),bullish,none,deteriorating,accumulation,high,128.67,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,69.0,6.65,84,38.4,-65.9,-3.26,0.79,4.5,A,0.2,2026-07-09,2026-07-10
ARAMITCEM,Aramit Cement Limited,11.8,0,High risk,37,0.8,IN-ZONE,11.7,11.9,inside bands (-0.9σ),bearish,watch-bullish,deteriorating,distribution,high,-18.9,0,0,none,,,,,bull,-0.58,,,,,,,,,0.436,,,,,,Stretch<-30% vs MA200,56.3,3.85,174,51.0,-87.6,-4.62,1.35,5.7,Z,1.3,2026-07-09,2026-07-10
ARGONDENIM,Argon Denims Limited,21.6,49,Mixed,70,17.1,EXTENDED,18.5,22.5,inside bands (+1.4σ),bullish,none,improving,accumulation,high,24.57,0,0,none,,,,,bull,-0.58,52w-high breakout,WORKS,1.28,1.42,4.8,46.6,0.466,0.417,0.436,0.2367,1189,,,,RSI<30 oversold,56.8,2.11,132,30.5,-45.8,-2.6,0.81,9.0,A,unavailable,2026-07-09,2026-07-10
ASIAINS,Asia Insurance PLC.,44.1,28,Weak,54,8.5,fair,44.0,46.4,inside bands (+0.7σ),bearish,watch-bullish,stable,accumulation,high,30.55,0,0,none,,,,,bull,-0.58,Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.409,0.417,0.436,0.2436,2558,40.9,-0.78,110,52w-high breakout,56.9,8.31,72,42.6,-81.9,-3.61,1.26,8.8,A,unavailable,2026-07-09,2026-07-10
ASIAPACINS,Asia Pacific General Insurance PLC,47.9,31,Weak,61,11.1,fair,45.6,48.5,inside bands (+0.2σ),bearish,watch-bullish,improving,accumulation,high,25.29,0,0,none,,,,,bull,-0.58,MACD bull cross|Bullish Engulfing,NO-EDGE,0.07,1.18,-0.0,44.8,0.429,0.417,0.436,0.2436,2558,43.0,0.3,86,Stretch<-30% vs MA200,95.2,15.95,62,41.7,-65.2,-3.56,0.98,9.1,A,0.1,2026-07-09,2026-07-10
ASIATICLAB,Asiatic Laboratories Limited,141.6,21,Weak,76,18.0,EXTENDED,117.0,146.0,inside bands (+0.3σ),bearish,watch-bullish,stable,accumulation,high,54.08,0,0,none,,,,,bull,-0.58,52w-high breakout|MACD bull cross,WORKS,1.28,1.42,4.8,46.6,0.538,0.475,0.436,0.2367,1189,64.9,5.16,37,52w-high breakout,64.9,5.16,37,53.8,-63.4,-3.82,0.74,56.1,A,unavailable,2026-07-09,2026-07-10
