scrip,kind,a,b,c,d
1JANATAMF,signal,Below the Stomach,31,74.2,2.49
1JANATAMF,signal,Stretch<-30% vs MA200,38,44.7,1.67
1JANATAMF,signal,MACD bull cross,105,43.8,0.32
1JANATAMF,signal,RSI<30 oversold,148,36.5,0.28
1JANATAMF,signal,Stochastic>80,247,62.8,0.27
1JANATAMF,signal,RSI>70 overbought,142,60.6,0.08
1JANATAMF,signal,Three Outside Down,61,60.7,0.07
1JANATAMF,signal,Evening Star,32,56.2,0.01
1JANATAMF,signal,Stochastic<20,701,45.1,-0.13
1JANATAMF,signal,Bullish Harami,210,44.3,-0.17
1JANATAMF,signal,Above upper Bollinger,168,64.3,-0.22
1JANATAMF,signal,Bearish Harami,118,50.8,-0.68
1JANATAMF,signal,MACD bear cross,103,48.5,-0.87
1JANATAMF,signal,52w-low breakdown,56,60.7,-0.91
1JANATAMF,signal,Tweezer Bottom,67,32.8,-1.0
1JANATAMF,signal,Bearish Engulfing,277,56.7,-1.02
1JANATAMF,signal,Bearish Marubozu,147,49.0,-1.29
1JANATAMF,signal,Bullish Marubozu,167,35.3,-1.48
1JANATAMF,signal,Morning Star,58,31.0,-1.63
1JANATAMF,signal,Below lower Bollinger,124,40.3,-2.02
1JANATAMF,signal,Price reclaims MA200,53,28.3,-2.17
1JANATAMF,signal,Bullish Engulfing,35,25.7,-2.96
1JANATAMF,signal,Double Top,47,61.7,-3.02
1JANATAMF,bounce,2025-05-07,3.4,4.0,18
1JANATAMF,bounce,2025-11-16,2.1,3.0,43
1JANATAMF,bounce,2025-11-30,2.5,2.9,16
1JANATAMF,bounce,2026-01-25,2.3,3.2,39
1JANATAMF,bounce,2026-03-08,2.5,3.6,44
1JANATAMF,bounce,2026-03-31,3.0,3.5,17
1JANATAMF,bounce,2026-05-07,2.9,3.4,17
1JANATAMF,bounce,2026-05-18,2.9,3.4,17
1STPRIMFMF,signal,Stretch<-30% vs MA200,241,47.3,5.16
1STPRIMFMF,signal,RSI<30 oversold,218,51.8,3.3
1STPRIMFMF,signal,Bullish Marubozu,43,37.2,3.23
1STPRIMFMF,signal,Below the Stomach,52,61.5,2.89
1STPRIMFMF,signal,Price reclaims MA200,42,40.5,2.81
1STPRIMFMF,signal,52w-high breakout,51,49.0,2.09
1STPRIMFMF,signal,Above the Stomach,111,51.4,1.5
1STPRIMFMF,signal,Double Bottom,53,41.5,1.4
1STPRIMFMF,signal,Stochastic<20,1145,45.8,0.5
1STPRIMFMF,signal,Tweezer Bottom,35,40.0,0.49
1STPRIMFMF,signal,Stretch>50% vs MA200,224,54.0,0.21
1STPRIMFMF,signal,Below lower Bollinger,191,49.2,0.18
1STPRIMFMF,signal,Bullish Harami,279,41.2,0.09
1STPRIMFMF,signal,MACD bull cross,130,36.9,-0.11
1STPRIMFMF,signal,Bearish Marubozu,128,63.3,-0.42
1STPRIMFMF,signal,Bullish Engulfing,66,42.4,-0.53
1STPRIMFMF,signal,Three Outside Down,158,57.6,-0.61
1STPRIMFMF,signal,Three Inside Up,32,46.9,-0.61
1STPRIMFMF,signal,Morning Star,77,39.0,-0.84
1STPRIMFMF,signal,Bearish Engulfing,318,58.5,-0.99
1STPRIMFMF,signal,Bearish Harami,61,55.7,-1.25
1STPRIMFMF,signal,Inverted Hammer,54,40.7,-1.33
1STPRIMFMF,signal,Double Top,88,54.5,-1.4
1STPRIMFMF,signal,Evening Star,44,54.5,-1.58
1STPRIMFMF,signal,MACD bear cross,128,53.1,-1.7
1STPRIMFMF,signal,52w-low breakdown,118,57.6,-1.89
1STPRIMFMF,signal,Three Black Crows,69,43.5,-3.27
1STPRIMFMF,signal,Stochastic>80,316,56.0,-3.5
1STPRIMFMF,signal,Above upper Bollinger,239,52.7,-5.42
1STPRIMFMF,signal,RSI>70 overbought,176,50.0,-6.97
1STPRIMFMF,bounce,2025-06-23,17.4,25.5,47
1STPRIMFMF,bounce,2025-08-27,19.4,26.4,36
1STPRIMFMF,bounce,2025-11-16,15.8,20.0,27
1STPRIMFMF,bounce,2025-12-02,18.0,22.9,27
1STPRIMFMF,bounce,2026-01-29,17.8,20.7,16
1STPRIMFMF,bounce,2026-03-09,16.7,19.6,17
1STPRIMFMF,bounce,2026-04-05,17.4,21.2,22
1STPRIMFMF,bounce,2026-05-13,18.2,22.9,26
AAMRANET,signal,52w-low breakdown,103,68.0,2.71
AAMRANET,signal,Stretch<-30% vs MA200,106,57.5,2.08
AAMRANET,signal,Above the Stomach,40,55.0,1.69
AAMRANET,signal,RSI>70 overbought,72,59.7,1.43
AAMRANET,signal,Stretch>50% vs MA200,34,70.6,1.27
AAMRANET,signal,Above upper Bollinger,106,61.3,1.25
AAMRANET,signal,Bullish Engulfing,43,51.2,0.96
AAMRANET,signal,Three Outside Down,74,55.4,0.41
AAMRANET,signal,Three Black Crows,56,57.1,0.4
AAMRANET,signal,Below lower Bollinger,103,48.5,0.18
AAMRANET,signal,Bearish Engulfing,126,57.1,0.12
AAMRANET,signal,Evening Star,31,67.7,0.05
AAMRANET,signal,Stochastic>80,209,59.3,-0.16
AAMRANET,signal,MACD bull cross,61,42.6,-0.18
AAMRANET,signal,MACD bear cross,64,60.9,-0.47
AAMRANET,signal,Stochastic<20,595,46.7,-0.5
AAMRANET,signal,RSI<30 oversold,129,40.3,-1.19
AAMRANET,signal,Bullish Harami,97,40.2,-1.26
AAMRANET,signal,Morning Star,54,48.1,-1.26
AAMRANET,signal,52w-high breakout,34,35.3,-1.88
AAMRANET,bounce,2025-06-23,15.6,19.6,26
AAMRANET,bounce,2025-08-13,17.5,23.7,35
AAMRANET,bounce,2025-09-22,19.8,23.7,20
AAMRANET,bounce,2025-10-20,18.6,21.4,15
AAMRANET,bounce,2025-11-16,14.5,18.7,29
AAMRANET,bounce,2026-01-06,15.8,18.2,15
AAMRANET,bounce,2026-02-02,15.5,18.1,17
AAMRANET,bounce,2026-03-09,15.0,18.3,22
AAMRATECH,signal,RSI>70 overbought,96,78.1,4.37
AAMRATECH,signal,Stochastic>80,288,69.1,2.06
AAMRATECH,signal,Above upper Bollinger,208,65.9,1.69
AAMRATECH,signal,Above the Stomach,74,60.8,0.87
AAMRATECH,signal,Inverted Hammer,61,52.5,0.86
AAMRATECH,signal,Evening Star,35,60.0,0.74
AAMRATECH,signal,Double Top,43,58.1,0.63
AAMRATECH,signal,RSI<30 oversold,134,52.2,0.63
AAMRATECH,signal,Three Black Crows,62,56.5,0.24
AAMRATECH,signal,Stochastic<20,879,52.9,0.23
AAMRATECH,signal,Stretch<-30% vs MA200,36,61.1,0.14
AAMRATECH,signal,Bearish Engulfing,239,57.3,-0.18
AAMRATECH,signal,52w-low breakdown,117,51.3,-0.19
AAMRATECH,signal,Below lower Bollinger,159,47.8,-0.2
AAMRATECH,signal,Bearish Harami,50,58.0,-0.24
AAMRATECH,signal,Bullish Harami,171,46.2,-0.5
AAMRATECH,signal,Bearish Marubozu,42,57.1,-0.61
AAMRATECH,signal,MACD bear cross,124,56.5,-0.64
AAMRATECH,signal,Three Outside Down,118,51.7,-1.04
AAMRATECH,signal,Morning Star,79,41.8,-1.18
AAMRATECH,signal,Price reclaims MA200,54,44.4,-1.33
AAMRATECH,signal,MACD bull cross,126,39.7,-1.8
AAMRATECH,signal,Below the Stomach,46,45.7,-2.11
AAMRATECH,signal,Bullish Engulfing,82,36.6,-2.23
AAMRATECH,signal,52w-high breakout,44,36.4,-2.7
AAMRATECH,bounce,2025-11-16,9.5,12.2,28
AAMRATECH,bounce,2025-12-07,10.1,12.0,19
AAMRATECH,bounce,2025-12-18,10.5,12.5,19
AAMRATECH,bounce,2026-01-19,11.0,13.4,22
AAMRATECH,bounce,2026-03-08,11.0,15.9,45
AAMRATECH,bounce,2026-04-06,12.7,14.7,16
AAMRATECH,bounce,2026-05-10,11.7,14.2,21
AAMRATECH,bounce,2026-05-20,12.8,15.8,23
ABB1STMF,signal,Bullish Marubozu,102,43.1,1.06
ABB1STMF,signal,MACD bull cross,89,53.9,0.9
ABB1STMF,signal,Below lower Bollinger,111,55.0,0.37
ABB1STMF,signal,Bearish Marubozu,188,64.4,0.32
ABB1STMF,signal,Three Outside Down,49,65.3,0.23
ABB1STMF,signal,RSI<30 oversold,120,48.3,-0.26
ABB1STMF,signal,52w-low breakdown,44,59.1,-0.29
ABB1STMF,signal,Bearish Engulfing,287,57.8,-0.34
ABB1STMF,signal,Stochastic<20,673,43.7,-0.5
ABB1STMF,signal,Tweezer Bottom,44,40.9,-0.6
ABB1STMF,signal,Stochastic>80,216,59.3,-0.92
ABB1STMF,signal,Price reclaims MA200,32,31.2,-1.09
ABB1STMF,signal,Bullish Harami,239,38.9,-1.31
ABB1STMF,signal,RSI>70 overbought,113,54.9,-1.48
ABB1STMF,signal,Above upper Bollinger,144,55.6,-1.6
ABB1STMF,signal,Bearish Harami,88,44.3,-1.66
ABB1STMF,signal,MACD bear cross,89,48.3,-1.93
ABB1STMF,signal,Double Top,31,48.4,-2.26
ABB1STMF,signal,Morning Star,64,28.1,-2.29
ABB1STMF,bounce,2025-11-16,2.2,3.2,45
ABB1STMF,bounce,2025-12-01,2.6,3.0,15
ABB1STMF,bounce,2026-01-26,2.4,3.3,38
ABB1STMF,bounce,2026-03-08,2.6,3.9,50
ABB1STMF,bounce,2026-03-31,3.3,3.9,18
ABB1STMF,bounce,2026-04-05,3.2,3.7,16
ABB1STMF,bounce,2026-05-06,3.0,3.6,20
ABB1STMF,bounce,2026-06-22,3.1,3.8,23
ABBANK,signal,Stretch<-30% vs MA200,584,57.7,25.98
ABBANK,signal,Stretch>50% vs MA200,325,80.0,24.92
ABBANK,signal,Stochastic<20,1999,55.7,15.2
ABBANK,signal,Below lower Bollinger,304,62.8,14.48
ABBANK,signal,RSI>70 overbought,225,72.4,13.52
ABBANK,signal,Stochastic>80,973,70.2,10.54
ABBANK,signal,Above upper Bollinger,348,67.5,9.61
ABBANK,signal,Tweezer Bottom,74,52.7,6.13
ABBANK,signal,RSI<30 oversold,377,52.0,4.15
ABBANK,signal,Inverted Hammer,111,53.2,2.63
ABBANK,signal,Above the Stomach,175,40.0,1.64
ABBANK,signal,Bullish Engulfing,116,48.3,0.64
ABBANK,signal,Bullish Harami,266,40.2,-0.0
ABBANK,signal,Bearish Engulfing,382,58.9,-0.79
ABBANK,signal,Three Inside Up,47,40.4,-1.39
ABBANK,signal,Three Outside Down,176,58.5,-1.62
ABBANK,signal,Price reclaims MA200,182,42.9,-1.85
ABBANK,signal,Three Outside Up,46,37.0,-2.08
ABBANK,signal,Bearish Marubozu,110,53.6,-2.09
ABBANK,signal,Hanging Man,34,47.1,-2.25
ABBANK,signal,Morning Star,127,41.7,-2.47
ABBANK,signal,Bullish Marubozu,40,22.5,-2.54
ABBANK,signal,Double Bottom,75,36.0,-4.2
ABBANK,signal,52w-low breakdown,131,42.0,-4.65
ABBANK,signal,Shooting Star,55,60.0,-5.59
ABBANK,signal,Bearish Harami,92,57.6,-6.32
ABBANK,signal,MACD bull cross,246,30.9,-6.47
ABBANK,signal,Three Black Crows,95,53.7,-7.49
ABBANK,signal,Tweezer Top,30,53.3,-9.07
ABBANK,signal,Below the Stomach,163,50.3,-11.03
ABBANK,signal,MACD bear cross,243,43.2,-13.34
ABBANK,signal,Double Top,105,42.9,-14.66
ABBANK,signal,Evening Star,81,48.1,-15.62
ABBANK,signal,52w-high breakout,70,12.9,-18.59
ABBANK,bounce,2025-06-22,5.7,7.4,30
ABBANK,bounce,2025-09-24,4.9,6.7,37
ABBANK,bounce,2025-11-16,3.4,5.2,53
ABBANK,bounce,2025-12-30,4.0,4.7,18
ABBANK,bounce,2026-02-05,4.4,7.4,68
ABBANK,bounce,2026-03-01,6.0,7.7,28
ABBANK,bounce,2026-04-07,5.5,6.6,20
ABBANK,bounce,2026-05-19,4.0,5.4,35
ACFL,signal,Three Black Crows,32,65.6,1.96
ACFL,signal,RSI<30 oversold,68,54.4,1.6
ACFL,signal,Stochastic<20,315,54.0,0.55
ACFL,signal,Bullish Engulfing,30,46.7,0.46
